experiment,prompt_tokens,observed_answer_position,answer_text,generated_text,generated_answer_text,token_exact_match,normalized_text_exact_match,exact_match,sequence_logprob,mean_token_logprob,first_token_entropy,mean_relevant_attention,mean_sink_over_relevant,example_id,filler_type,correct_location,total_tokens,mean_layer_cosine,late_layer_cosine,predicted_location,candidate_margin,front_mean_token_logprob,middle_mean_token_logprob,back_mean_token_logprob,front_sequence_logprob,middle_sequence_logprob,back_sequence_logprob,candidate_exact_match
competition_sweep,4096,0.091552734375,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.1171875,-0.919921875,0.53759765625,0.03409922458409191,339217.61997672415,example_0000,natural,front,4096,,,front,0.06787109375,-0.919921875,-1.3876953125,-0.98779296875,-10.1171875,-16.640625,-10.8671875,True
competition_sweep,4096,0.091064453125,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-9.9140625,-0.826171875,2.123046875,0.027597382793567868,389529.54907726415,example_0001,natural,front,4096,,,front,0.02978515625,-0.826171875,-0.9794921875,-0.85595703125,-9.9140625,-9.796875,-10.2734375,True
competition_sweep,4096,0.091552734375,IVORY-LANTERN-10019,IVORY-LANTERN-10223,IVORY-LANTERN-10223,False,False,False,-8.609375,-0.78271484375,3.091796875,0.0308316466894509,356248.8136350863,example_0002,natural,front,4096,,,back,0.021484375,-0.78271484375,-1.0615234375,-0.76123046875,-8.609375,-10.6171875,-8.375,False
competition_sweep,4096,0.09130859375,SCARLET-BREEZE-10020,SCARLET-BREEZE-10224,SCARLET-BREEZE-10224,False,False,False,-11.5390625,-0.96142578125,1.6279296875,,,example_0003,natural,front,4096,,,back,0.0859375,-0.96142578125,-1.0986328125,-0.87548828125,-11.5390625,-12.0859375,-10.5078125,False
competition_sweep,4096,0.091064453125,SABLE-HARBOR-10021,SABLE-HARBOR-10225,SABLE-HARBOR-10225,False,False,False,-11.171875,-1.015625,1.974609375,,,example_0004,natural,front,4096,,,middle,0.04345703125,-1.015625,-0.95068359375,-0.994140625,-11.171875,-10.4609375,-10.9375,False
competition_sweep,4096,0.09130859375,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-13.484375,-1.1240234375,3.19140625,,,example_0005,natural,front,4096,,,middle,0.1650390625,-1.1240234375,-0.958984375,-1.1396484375,-13.484375,-10.5546875,-13.671875,False
competition_sweep,4096,0.09130859375,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10227,GOLDEN-LANTERN-10227,False,False,False,-11.40625,-0.95068359375,2.646484375,,,example_0006,natural,front,4096,,,middle,0.04638671875,-0.95068359375,-0.83740234375,-0.8837890625,-11.40625,-8.375,-10.609375,False
competition_sweep,4096,0.091552734375,TEAL-BREEZE-10024,SCARLET-FALCON-10160,SCARLET-FALCON-10160,False,False,False,-9.203125,-0.8369140625,2.453125,,,example_0007,natural,front,4096,,,back,0.05419921875,-0.8369140625,-0.90087890625,-0.78271484375,-9.203125,-10.8046875,-8.609375,False
competition_sweep,4096,0.427978515625,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.53125,-0.95703125,1.7548828125,0.020826740798564603,374825.97279398073,example_0000,natural,middle,4096,,,middle,0.056640625,-1.1728515625,-0.95703125,-1.013671875,-11.7265625,-10.53125,-11.15625,True
competition_sweep,4096,0.427490234375,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-9.3203125,-0.7763671875,1.7197265625,0.02077793320790523,359640.36986857455,example_0001,natural,middle,4096,,,middle,0.0458984375,-1.140625,-0.7763671875,-0.822265625,-12.5546875,-9.3203125,-9.8671875,True
competition_sweep,4096,0.42822265625,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-8.2734375,-0.751953125,3.087890625,0.023840123466875484,611355.3646551685,example_0002,natural,middle,4096,,,middle,0.0283203125,-0.89794921875,-0.751953125,-0.7802734375,-10.7734375,-8.2734375,-8.578125,True
competition_sweep,4096,0.427734375,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-11.0859375,-0.923828125,2.53515625,,,example_0003,natural,middle,4096,,,middle,0.01123046875,-0.974609375,-0.923828125,-0.93505859375,-10.71875,-11.0859375,-11.21875,True
competition_sweep,4096,0.427734375,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-11.125,-1.01171875,1.8232421875,,,example_0004,natural,middle,4096,,,front,0.0205078125,-0.9912109375,-1.01171875,-1.0439453125,-10.8984375,-11.125,-11.484375,False
competition_sweep,4096,0.427490234375,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-13.328125,-1.1103515625,3.056640625,,,example_0005,natural,middle,4096,,,middle,0.0673828125,-1.1865234375,-1.1103515625,-1.177734375,-11.8671875,-13.328125,-14.1328125,True
