experiment,prompt_tokens,observed_answer_position,answer_text,generated_text,generated_answer_text,token_exact_match,normalized_text_exact_match,exact_match,sequence_logprob,mean_token_logprob,first_token_entropy,mean_relevant_attention,mean_sink_over_relevant,example_id,filler_type,sink_prefix_tokens,total_tokens,mean_layer_cosine,late_layer_cosine
sink_stress,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-9.9140625,-0.90087890625,1.1181640625,0.04510619224201888,1712809.4143533583,example_0000,natural,0,4096,,
sink_stress,4096,0.699951171875,COBALT-MEADOW-10018,"The security answer provided in the given text is ""COB","The security answer provided in the given text is ""COB",False,False,False,-10.5703125,-0.880859375,1.375,0.03552272167084106,1345729.7435748575,example_0001,natural,0,4096,,
sink_stress,4096,0.699951171875,IVORY-LANTERN-10019,"The security answer provided in the given text is ""IVORY","The security answer provided in the given text is ""IVORY",False,False,False,-8.234375,-0.7490234375,1.8935546875,0.052462996177666164,1757369.4322038111,example_0002,natural,0,4096,,
sink_stress,4096,0.699951171875,SCARLET-BREEZE-10020,"The security answer provided by the document is ""SCARLET","The security answer provided by the document is ""SCARLET",False,False,False,-10.890625,-0.90771484375,1.484375,,,example_0003,natural,0,4096,,
sink_stress,4096,0.699951171875,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-14.7890625,-1.3447265625,0.8642578125,,,example_0004,natural,0,4096,,
sink_stress,4096,0.699951171875,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-15.7890625,-1.3154296875,1.607421875,,,example_0005,natural,0,4096,,
sink_stress,4096,0.699951171875,GOLDEN-LANTERN-10023,The security answer is GOLDEN-LANTERN-10,The security answer is GOLDEN-LANTERN-10,False,False,False,-14.265625,-1.1884765625,2.029296875,,,example_0006,natural,0,4096,,
sink_stress,4096,0.699951171875,TEAL-BREEZE-10024,"The security answer provided in this text is ""TEAL-B","The security answer provided in this text is ""TEAL-B",False,False,False,-7.55859375,-0.68701171875,1.5888671875,,,example_0007,natural,0,4096,,
sink_stress,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.2109375,-0.9287109375,0.2373046875,0.06485334902873868,1762006.973837967,example_0000,natural,64,4096,0.9587998390197754,0.9403029084205627
sink_stress,4096,0.699951171875,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-10.65625,-0.88818359375,0.88134765625,0.044079148316091436,1538205.6745809326,example_0001,natural,64,4096,0.96951824426651,0.9679305553436279
sink_stress,4096,0.699951171875,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-7.49609375,-0.681640625,1.669921875,0.06374669313326684,1830442.83363961,example_0002,natural,64,4096,0.9680808186531067,0.9565678238868713
sink_stress,4096,0.699951171875,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-10.734375,-0.89453125,1.30859375,,,example_0003,natural,64,4096,0.9676325917243958,0.96566241979599
sink_stress,4096,0.699951171875,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-12.9140625,-1.173828125,0.2880859375,,,example_0004,natural,64,4096,0.9705473780632019,0.9702306389808655
sink_stress,4096,0.699951171875,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-16.078125,-1.33984375,1.08203125,,,example_0005,natural,64,4096,0.9705517292022705,0.9738776087760925
sink_stress,4096,0.699951171875,GOLDEN-LANTERN-10023,The security answer is GOLDEN-LANTERN-10,The security answer is GOLDEN-LANTERN-10,False,False,False,-14.78125,-1.2314453125,1.48046875,,,example_0006,natural,64,4096,0.9709460139274597,0.9749612808227539
sink_stress,4096,0.699951171875,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-8.015625,-0.728515625,0.89599609375,,,example_0007,natural,64,4096,0.972378671169281,0.9669377207756042
sink_stress,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-9.9375,-0.90380859375,0.4296875,0.055823254998101826,1732216.5351965914,example_0000,natural,256,4096,0.9627613425254822,0.9602634906768799
sink_stress,4096,0.699951171875,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-9.9765625,-0.83154296875,0.9921875,0.0425532201095933,1433287.870349127,example_0001,natural,256,4096,0.9631583094596863,0.9691061973571777
sink_stress,4096,0.699951171875,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-7.31640625,-0.6650390625,1.7333984375,0.06179127961822164,1911940.3960790262,example_0002,natural,256,4096,0.9652209281921387,0.9671897888183594
sink_stress,4096,0.699951171875,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-10.3828125,-0.865234375,1.1494140625,,,example_0003,natural,256,4096,0.9613726139068604,0.9651045799255371
sink_stress,4096,0.699951171875,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-12.765625,-1.1611328125,0.369873046875,,,example_0004,natural,256,4096,0.9659438729286194,0.9710214734077454
sink_stress,4096,0.699951171875,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-16.515625,-1.3759765625,1.044921875,,,example_0005,natural,256,4096,0.9668022990226746,0.970893383026123
sink_stress,4096,0.699951171875,GOLDEN-LANTERN-10023,The security answer is GOLDEN-LANTERN-10,The security answer is GOLDEN-LANTERN-10,False,False,False,-15.2890625,-1.2734375,1.4169921875,,,example_0006,natural,256,4096,0.9696785807609558,0.979372501373291
sink_stress,4096,0.699951171875,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.9453125,-0.72216796875,0.5888671875,,,example_0007,natural,256,4096,0.9644177556037903,0.9644508361816406
sink_stress,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-9.890625,-0.8994140625,0.201171875,0.06885339484157382,1768199.0312197478,example_0000,natural,512,4096,0.9577124714851379,0.9381387829780579
sink_stress,4096,0.699951171875,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-9.828125,-0.8193359375,0.449951171875,0.04763419008588278,1770411.802664191,example_0001,natural,512,4096,0.9632371068000793,0.9550138115882874
sink_stress,4096,0.699951171875,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-6.4296875,-0.58447265625,0.5654296875,0.07388308369712845,1893832.832354353,example_0002,natural,512,4096,0.9449579119682312,0.9019968509674072
sink_stress,4096,0.699951171875,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-10.3046875,-0.85888671875,0.67529296875,,,example_0003,natural,512,4096,0.9567432403564453,0.9409212470054626
sink_stress,4096,0.699951171875,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-12.5390625,-1.1396484375,0.0955810546875,,,example_0004,natural,512,4096,0.9633278846740723,0.9556075930595398
sink_stress,4096,0.699951171875,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-15.5,-1.291015625,0.41455078125,,,example_0005,natural,512,4096,0.9656059741973877,0.9597516059875488
sink_stress,4096,0.699951171875,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,False,True,True,-12.796875,-1.06640625,0.48486328125,,,example_0006,natural,512,4096,0.9611639976501465,0.9457964301109314
sink_stress,4096,0.699951171875,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.90625,-0.71875,0.2225341796875,,,example_0007,natural,512,4096,0.9575797915458679,0.9406999945640564
sink_stress,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.1953125,-0.92724609375,1.064453125,0.04595794711514872,1894707.1682690266,example_0000,boilerplate,0,4096,,
sink_stress,4096,0.699951171875,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-10.1953125,-0.849609375,1.228515625,0.05222501277465711,1445488.7896628757,example_0001,boilerplate,0,4096,,
sink_stress,4096,0.699951171875,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-7.1328125,-0.6484375,1.537109375,0.0547460826819041,1763725.0966180551,example_0002,boilerplate,0,4096,,
sink_stress,4096,0.699951171875,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-11.21875,-0.93505859375,1.8974609375,,,example_0003,boilerplate,0,4096,,
sink_stress,4096,0.699951171875,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-14.5390625,-1.322265625,0.5078125,,,example_0004,boilerplate,0,4096,,
sink_stress,4096,0.699951171875,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-15.890625,-1.32421875,1.673828125,,,example_0005,boilerplate,0,4096,,
sink_stress,4096,0.699951171875,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,False,True,True,-14.171875,-1.1806640625,1.7294921875,,,example_0006,boilerplate,0,4096,,
sink_stress,4096,0.699951171875,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.87109375,-0.71533203125,1.08203125,,,example_0007,boilerplate,0,4096,,
sink_stress,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-10.265625,-0.93310546875,0.287841796875,0.059418160656468946,2009693.0438904816,example_0000,boilerplate,64,4096,0.9602119326591492,0.9291762709617615
sink_stress,4096,0.699951171875,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-10.1484375,-0.845703125,0.50048828125,0.06039931717911672,1802436.9315485929,example_0001,boilerplate,64,4096,0.973994255065918,0.9613850712776184
sink_stress,4096,0.699951171875,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-6.01953125,-0.54736328125,0.62841796875,0.06355073083561277,1856824.2617877491,example_0002,boilerplate,64,4096,0.9723162055015564,0.9542844295501709
sink_stress,4096,0.699951171875,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-10.40625,-0.8671875,0.9765625,,,example_0003,boilerplate,64,4096,0.9707131385803223,0.9578163027763367
sink_stress,4096,0.699951171875,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-11.9921875,-1.08984375,0.3798828125,,,example_0004,boilerplate,64,4096,0.9684101939201355,0.9492928981781006
sink_stress,4096,0.699951171875,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-15.2109375,-1.267578125,0.51953125,,,example_0005,boilerplate,64,4096,0.9657678604125977,0.94108647108078
sink_stress,4096,0.699951171875,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,False,True,True,-12.6875,-1.0576171875,0.61767578125,,,example_0006,boilerplate,64,4096,0.9675164222717285,0.9446274638175964
sink_stress,4096,0.699951171875,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.78125,-0.70751953125,0.328369140625,,,example_0007,boilerplate,64,4096,0.9715932011604309,0.9595885276794434
sink_stress,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-9.96875,-0.90625,0.75439453125,0.05656980259243666,1833256.400465821,example_0000,boilerplate,256,4096,0.9613611102104187,0.9537897109985352
sink_stress,4096,0.699951171875,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-9.578125,-0.7978515625,0.55615234375,0.05673503415355651,1532470.5054676374,example_0001,boilerplate,256,4096,0.9695560336112976,0.9629287719726562
sink_stress,4096,0.699951171875,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-6.31640625,-0.57421875,1.0244140625,0.0670744206672904,1691540.3343808847,example_0002,boilerplate,256,4096,0.9655405879020691,0.9497559666633606
sink_stress,4096,0.699951171875,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-10.25,-0.8544921875,1.0419921875,,,example_0003,boilerplate,256,4096,0.9643964767456055,0.9604048132896423
sink_stress,4096,0.699951171875,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-11.8828125,-1.080078125,0.288330078125,,,example_0004,boilerplate,256,4096,0.9608983993530273,0.9400665163993835
sink_stress,4096,0.699951171875,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-14.3515625,-1.1962890625,0.77880859375,,,example_0005,boilerplate,256,4096,0.9585132598876953,0.9391937255859375
sink_stress,4096,0.699951171875,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,False,True,True,-12.5078125,-1.0419921875,0.85498046875,,,example_0006,boilerplate,256,4096,0.965449333190918,0.9497595429420471
sink_stress,4096,0.699951171875,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.6328125,-0.69384765625,0.49853515625,,,example_0007,boilerplate,256,4096,0.9695219993591309,0.9639390110969543
sink_stress,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-9.9375,-0.9033203125,0.2288818359375,0.05344588274203485,1841493.2720045284,example_0000,boilerplate,512,4096,0.9626607894897461,0.9427914619445801
sink_stress,4096,0.699951171875,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-9.640625,-0.80322265625,0.335693359375,0.05626214240899296,1821383.67431605,example_0001,boilerplate,512,4096,0.9754297137260437,0.9697525501251221
sink_stress,4096,0.699951171875,IVORY-LANTERN-10019,IVORY-LANTERN-10019,IVORY-LANTERN-10019,False,True,True,-5.921875,-0.53857421875,0.6025390625,0.0641581256428416,1694772.5605944903,example_0002,boilerplate,512,4096,0.9643605351448059,0.9436440467834473
sink_stress,4096,0.699951171875,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,SCARLET-BREEZE-10020,False,True,True,-10.1328125,-0.84423828125,0.69384765625,,,example_0003,boilerplate,512,4096,0.9612066745758057,0.9456493854522705
sink_stress,4096,0.699951171875,SABLE-HARBOR-10021,SABLE-HARBOR-10021,SABLE-HARBOR-10021,False,True,True,-12.234375,-1.1123046875,0.182861328125,,,example_0004,boilerplate,512,4096,0.9569642543792725,0.9263806939125061
sink_stress,4096,0.699951171875,SILVER-MEADOW-10022,SILVER-MEADOW-10022,SILVER-MEADOW-10022,False,True,True,-14.7578125,-1.2294921875,0.71337890625,,,example_0005,boilerplate,512,4096,0.9635897278785706,0.9435946941375732
sink_stress,4096,0.699951171875,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,GOLDEN-LANTERN-10023,False,True,True,-13.171875,-1.09765625,0.97900390625,,,example_0006,boilerplate,512,4096,0.9641739726066589,0.9530032277107239
sink_stress,4096,0.699951171875,TEAL-BREEZE-10024,TEAL-BREEZE-10024,TEAL-BREEZE-10024,False,True,True,-7.2890625,-0.66259765625,0.5009765625,,,example_0007,boilerplate,512,4096,0.9715248942375183,0.9678785800933838
sink_stress,4096,0.699951171875,AMBER-HARBOR-10017,AMBER-HARBOR-10017,AMBER-HARBOR-10017,False,True,True,-9.5234375,-0.86572265625,2.041015625,0.03643717761748446,2723289.6275883475,example_0000,code,0,4096,,
sink_stress,4096,0.699951171875,COBALT-MEADOW-10018,COBALT-MEADOW-10018,COBALT-MEADOW-10018,False,True,True,-9.890625,-0.82421875,1.1943359375,0.03795078582840418,2633671.6402871367,example_0001,code,0,4096,,
